clause,chapter,ko,star,requirement,tracker_status,owner,due,named_evidence,verified_grade_11aug,verified_note_11aug,internal_audit_14aug,internal_audit_note
4.4.1,4,,*,"A procedure for the sourcing of raw materials, semi-finished products and packaging materials and the approval and monitoring of suppliers (internal and external) shall be documented, imple- mented and maintained. This procedure shall contain, at a minimum: • raw materials and/or suppliers’ risks • ",Needs a review,Rok Mejaš,1.4. 2026,,,,,
4.4.2,4,,,"The purchased materials shall be assessed, based on risks and suppliers’ status, for food safety, product quality, legality and authenticity. The results shall be the basis for the testing and monitoring plans.",Done,"Eva Grm, Katarina Valentinčič",1.4. 2026,DN11 NADZOR IN OCENJEVANJE DOBAVITELJEV HS04_Analiza dejavnikov tveganja.xlsx,,,,
4.4.3,4,,*,"The purchasing services, which have, based on risks, an impact on food safety and product quality, shall be evaluated to ensure they comply with defined requirements. This shall take into account, at a minimum: • the service requirements • the supplier’s status (according to its assessment) • the im",Re-check before audit,Rok Mejaš,1.4. 2026,,,,,
4.4.4,4,,*,"Where a part of the product processing and/or primary packing and/or labelling is outsourced, this shall be documented in the food safety and quality management system and such processes shall be controlled to guarantee that food safety, product quality, legality and authenticity are not compromised",Not started,Ana Štravs,1.4. 2026,,,,,
4.4.5,4,,,"An agreement shall be documented and implemented, covering the outsourced processes and describing any arrangements made in connection with it, including in-process controls, testing and monitoring plans.",Needs a review,Katra Šilc,1.4. 2026,Upravljanje procesov zunanjih izvajalcev,D,The document does not exist,,
4.4.6,4,,,"Suppliers of the outsourced processes shall be approved through: • certification to IFS Food or other GFSI recognised food safety certification standard, or • documented supplier audit, performed by an experienced and competent person, which shall include, at a minimum, requirements for food safety,",Not started,Ana Štravs,1.4. 2026,,,,,
4.4.7,4,,,The sourcing of materials and supplier assessments shall be reviewed at least once within a 12-month period or whenever significant changes occur. Records of the reviews and the consequential actions of the assessment shall be documented.,Done,Rok Mejaš,1.4. 2026,,,,,
4.5.1,4,,,"\* Based on risks and intended use, key parameters for the packaging materials shall be defined in detailed specifications complying with the current relevant legislation and other relevant hazards or risks. Suitability of the food contact packaging materials and existence of functional barrier(s) s",Done,"Eva Grm, Katarina Valentinčič",1.4. 2026,HS04_Analiza dejavnikov tveganja.xlsx,D,"No declarations of compliance for any food-contact material, including the film in direct product contact",,
4.5.2,4,,,"For all packaging materials which could have an impact on products, declarations of compliance, which attest compliance with legal requirements shall be documented. In the event that no specific legal requirements are applicable, evidence shall be maintained to ensure that packaging materials are su",Re-check before audit,Rok Mejaš,1.4. 2026,,D,No migration test results for food-contact materials,,
4.5.3,4,,,Used packaging and labelling shall correspond to the product being packed and shall comply with agreed customer product specifications. Labelling information shall be legible and indelible. This shall be monitored and documented at least at the start and end of a production run as well as at every p,In progress,"Ana Štravs, Katarina Valentinčič, Rok Mejaš",1.4. 2026,,D,No changeover or start/end-of-run label verification records,m,Packaging/labelling control not documented at start and end of the production run (see HS05-01)
4.6.1,4,,*,"Potential adverse impact on food safety and/or product quality from the factory environment (e.g. ground, air) shall be investigated. Where risks have been identified (e.g. extremely dusty air, strong smells), measures shall be documented, implemented and reviewed for effectiveness at least once wit",Done,"Eva Grm, Katarina Valentinčič",1.6. 2026,HS07 - Analiza ostalih dejavnikov tveganja,,,,
4.7.1,4,,,"All external areas of the factory shall be clean, tidy, designed and maintained in a way to prevent contamination. Where natural drainage is inadequate, a suitable drainage system shall be installed.",Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.7.2,4,,,"Outdoor storage shall be kept to a minimum. Where goods are stored outside, it shall be ensured that there are no contamination risks or adverse effects on food safety and quality.",In progress,Rok Mejaš,1.4. 2026,,,,m,Freezer container control panel outside the plant not protected against malicious interference; cameras do not cover the area
4.8.1,4,,,"A site plan covering all buildings shall be documented and maintained and shall describe, at a minimum, the process flow of: • finished products • semi-finished products, including rework • packaging materials • raw materials • personnel • waste • water.",Re-check before audit,Maj Hrovat,1.6. 2026,,D,No site plan showing the seven required flows and no hygiene zoning map. Requested in the opening meeting of every IFS audit,,
4.8.2,4,,*,"The process flow, from receipt of goods to dispatch, shall be implemented, maintained, reviewed and where necessary, modified to ensure that the microbiological, chemical and physical contam- ination risks of raw materials, packaging materials, semi-finished and finished products are avoided. The cr",Not started,"Eva Grm, Maj Hrovat",1.6. 2026,flor plan,,,,
4.8.3,4,,,"In the case where areas sensitive to microbiological, chemical and physical risks, have been identified, they shall be designed and operated to ensure product safety is not compromised. 60 IFS FOOD VERSION 8",In progress,Maj Hrovat,1.6. 2026,Vpih filtriranega zraka na linijo (kjer je najbolj sensitive area). Ali je priprava binderja / marinade tudi problematična?,,,,
4.8.4,4,,,Laboratory facilities and in-process controls shall not affect product safety.,In progress,"Eva Grm, Katarina Valentinčič",1.4. 2026,DN-31 Laboratoriji: urejenost prostorov in ravnanje z odpadki,,,,
4.9.1.1,4,,*,"Premises where food products are prepared, treated, processed and stored shall be designed, constructed and maintained to ensure food safety.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.2.1,4,,,"Walls shall be designed and constructed to meet production requirements in a way to prevent contamination, reduce condensation and mould growth, facilitate cleaning and if necessary, disinfection.",Re-check before audit,Maj Hrovat,1.6. 2026,,,,,
4.9.2.2,4,,,The surfaces of walls shall be maintained in a way to prevent contamination and easy to clean; they shall be impervious and wear-resistant to minimise product contamination risks.,In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.2.3,4,,,"The junctions between walls, floors and ceilings shall be designed to facilitate cleaning and if necessary, disinfection.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.3.1,4,,,"Floor covering shall be designed and constructed to meet production requirements and be main- tained in a way to prevent contamination and facilitate cleaning and if necessary, disinfection. Surfaces shall be impervious and wear-resistant.",Not started,Maj Hrovat,1.6. 2026,,,,,
4.9.3.2,4,,,"The hygienic disposal of water and other liquids shall be ensured. Drainage systems shall be designed, constructed and maintained in a way to minimise product contamination risks (e.g. entry of pests, areas sensitive to transmission of odour or contaminants) and shall be easy to clean.",In progress,Maj Hrovat,1.6. 2026,,C,Drainage incomplete at the pasteuriser zone; AA2 documents a 2/2025 Legionella positive whose root cause was standing water in exactly that area,,
4.9.3.3,4,,,"In food handling areas, machinery and piping shall be arranged to allow waste water, if possible, to flow directly into a drain. Water and other liquids shall reach drainage using appropriate measures without difficulty. Stagnation of puddles shall be avoided.",In progress,Maj Hrovat,1.6. 2026,,C,No drains on the extruder cooling bath,,
4.9.4.1,4,,,"Ceilings (or, where no ceilings exist, the inside of roofs) and overhead fixtures (including piping, cableway, lamps, etc.) shall be designed, constructed and maintained to minimise the accumulation of dirt and condensation and shall not pose any physical and/or microbiological contamination risks.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.4.2,4,,,"Where false ceilings are used, access to the vacant area shall be provided to facilitate cleaning, maintenance and inspection for pest control. 61 IFS FOOD VERSION 8",Re-check before audit,Maj Hrovat,1.6. 2026,,,,,
4.9.5.1,4,,,Windows and other openings shall be designed and constructed to avoid the accumulation of dirt and shall be maintained in a way to prevent contamination.,Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.9.5.2,4,,,"Where there are contamination risks, windows and roof glazing shall remain closed and fixed during production.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.5.3,4,,,"Where windows and roof glazing are designed to be opened for ventilation purposes, they shall be fitted with easy to clean pest screens or other measures to prevent any contamination.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.5.4,4,,,"In areas where unpackaged products are handled, windows shall be protected against breakage.",In progress,Maj Hrovat,1.6. 2026,,D,Three risk assessments cite a glass and brittle plastic policy as an active control; neither policy nor register exists,,
4.9.6.1,4,,,Doors and gates shall be maintained in a way to prevent contamination and be easy to clean. They shall be designed and constructed of non-absorbent materials to avoid: • splintering parts • flaking paint • corrosion.,In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.6.2,4,,,External doors and gates shall be constructed to prevent the access of pests.,Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.9.6.3,4,,,Plastic strip curtains separating areas shall be maintained in a way to prevent contamination and be easy to clean.,In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.7.1,4,,,"All production, storage, receipt and dispatch areas shall have adequate levels of light.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.8.1,4,,,"Adequate natural and/or artificial ventilation shall be designed, constructed and maintained in all areas.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.8.2,4,,,"If ventilation equipment is installed, filters and other components shall be easily accessible and monitored, cleaned or replaced as necessary.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.8.3,4,,,Air conditioning equipment and artificially generated airflow shall not compromise product safety and quality.,In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.8.4,4,,,"Dust extraction equipment shall be designed, constructed and maintained in areas where consid- erable amounts of dust are generated. 62 IFS FOOD VERSION 8",In progress,Maj Hrovat,1.6. 2026,,,,,
4.9.9.1,4,,*,"Water which is used for hand washing, cleaning and disinfection, or as an ingredient in the production process shall be of potable quality at the point of use and supplied in sufficient quantities.",Done,Eva Grm,1.4. 2026,QP-1.5 Kontrola ustreznosti vode,A,QP-1.5 v13.0 - strongest evidence set in chapter 4,,
4.9.9.2,4,,,"The quality of water (including recycled water), steam or ice shall be monitored following a risk- based sampling plan.",Re-check before audit,Eva Grm,1.4. 2026,"QP-1.5 Kontrola ustreznosti vode Interni monitoring, analize 2025/2026 VODA",,,,
4.9.9.3,4,,,"Recycled water, which is used in the process, shall not pose contamination risks.",Done,Eva Grm,1.4. 2026,QP-1.5 Kontrola ustreznosti vode,,,,
4.9.9.4,4,,,"Non-potable water shall be transported in separate, properly marked piping. Such piping shall neither be connected to the potable water system nor allow the possibility of reflux, to prevent contamination of potable water sources or factory environment.",Re-check before audit,Maj Hrovat,1.6. 2026,,,,,
4.9.10.1,4,,*,The quality of compressed air that comes in direct contact with food or food contact materials shall be monitored based on risks. Compressed air shall not pose contamination risks.,Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.9.10.2,4,,,"Gases that come in direct contact with food or food contact materials, shall demonstrate safety and quality for the intended use.",Not started,Maj Hrovat,1.6. 2026,,,,,
4.10.1,4,,*,"Risk-based cleaning and disinfection schedules shall be validated, documented and implemented. These shall specify: • objectives • responsibilities • the products used and their instructions for use • dosage of cleaning and disinfection chemicals • the areas and timeslots for cleaning and disinfecti",In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.2,4,,,"Cleaning and disinfection activities shall be implemented and shall result in effectively cleaned premises, facilities and equipment.",In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.3,4,,,Cleaning and disinfection activities shall be documented and such records shall be verified by a responsible designated person in the company.,In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.4,4,,*,Only competent personnel shall perform cleaning and disinfection activities. The personnel shall be trained and retrained to carry out the cleaning and disinfection schedules. 63 IFS FOOD VERSION 8,Not started,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.5,4,,*,The intended use of cleaning and disinfection equipment shall be clearly specified. It shall be used and stored in a way to avoid contamination.,In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.6,4,,,Safety data sheets and instructions for use shall be available on-site for cleaning and disinfection chemicals. Personnel responsible for cleaning and disinfection activities shall be able to demonstrate their knowledge of such instructions.,In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.7,4,,,"The effectiveness of the cleaning and disinfection measures shall be verified. The verification shall rely on a risk-based sampling schedule and shall consider, one or several actions, for example: • visual inspection • rapid testing • analytical testing methods. Resultant actions shall be documente",In progress,Aleksandra Kadirić,1.4. 2026,,MAJOR,"ATP records stop 28.1.2026 against a daily requirement (6.5-month gap). 20.5.2026 Listeria positive on all production footwear has no corrective action, root cause or re-swab",,
4.10.8,4,,,"Cleaning and disinfection schedules shall be reviewed and modified in the event that changes occur to products, processes or cleaning and disinfection equipment, if necessary.",In progress,Aleksandra Kadirić,1.4. 2026,,,,,
4.10.9,4,,,"Where a company hires a third-party service provider for cleaning and disinfection activities in production areas, all above-mentioned requirements shall be documented in the service contract.",Done,"Aleksandra Kadirić, Lina Petek",1.4. 2026,Pogodba čistilni servis: 015 - Pogodbe Izobraževanje čistilni servis: 2026-7-1-Higienska pravila.pdf 2026-8-1-čiščenje linije.pdf 2026-9-1-čiščenje.pdf 2026-4-3-higienska pravila.pdf 2026-7-1-čiščenje proizvodnje-pregled.pdf 2026-12-1-čiščenje pasterjev.pdf Evidence čiščenja: v živo,,,,
4.11.1,4,,*,"A waste management procedure shall be documented, implemented and maintained to prevent cross contamination.",Done,Jan Velepec,1.4. 2026,DN08 RAVNANJE Z ODPADK verzija 6.docx,,,,
4.11.2,4,,,All local legal requirements for waste disposal shall be met.,Done,Katra Šilc,1.4. 2026,DN08 RAVNANJE Z ODPADK verzija 6.docx,,,,
4.11.3,4,,,Food waste and other waste shall be removed as quickly as possible from areas where food is handled. The accumulation of waste shall be avoided.,In progress,Jan Velepec,1.4. 2026,,,,,
4.11.4,4,,,"Waste collection containers shall be clearly marked, suitably designed and maintained, easy to clean, and where necessary, disinfected.",Done,Jan Velepec,1.4. 2026,DN08 RAVNANJE Z ODPADK verzija 6.docx,,,,
4.11.5,4,,,"If a company decides to separate food waste and to reintroduce it into the feed supply chain, measures or procedures shall be implemented to prevent contamination or deterioration of this material.",In progress,Jan Velepec,1.4. 2026,,,,,
4.11.6,4,,,Waste shall be collected in separate containers in accordance with the intended means of disposal. Such waste shall be disposed of by authorised third-parties only. Records of waste disposal shall be kept by the company.,Done,Jan Velepec,1.4. 2026,Ravnanje z odpadki,D,Waste disposal documentation gap (downgraded from major on review),,
4.12.1,4,6,*,"Based on risks, procedures shall be documented, implemented and maintained to prevent contamination with foreign materials. Contaminated products shall be treated as non-conforming products. 64 IFS FOOD VERSION 8",Needs a review,Rok Mejaš,1.4. 2026,,KO-D+MAJOR,"CCP never validated (OBR47 blank), operator instruction record blank and omits the CCP, both work instructions empty templates, functionality tests unretrievable, detector relocated 7/2026 without revalidation, operators last trained 30.1.2025. Metal foreign body reached finished product 9.1.2026 (6-lot recall)",,
4.12.2,4,,,"The products being processed shall be protected against physical contamination, which includes but is not limited to: • environmental contaminants • oils or dripping liquids from machinery • dust spills. Special consideration shall also be given to product contamination risks caused by: • equipment ",Needs a review,Rok Mejaš,1.4. 2026,,,,,
4.12.3,4,,,"All chemicals within the site shall be fit for purpose, labelled, stored and handled in a way not to pose contamination risks.",In progress,Jan Velepec,1.4. 2026,,,,,
4.12.4,4,,,"Where metal and/or other foreign material detectors are required, they shall be installed to ensure maximum efficiency of detection to prevent subsequent contamination. Detectors shall be subjected to maintenance to avoid malfunction at least once within a 12-month period, or whenever significant ch",Not started,Maj Hrovat,1.6. 2026,,,,,
4.12.5,4,,,"The accuracy of all equipment and methods designed to detect and/or eliminate foreign materials shall be specified. Functionality tests of such equipment and methods shall be carried out on a risk-based frequency. In case of malfunction or failure, the impact on products and processes shall be asses",Needs a review,Rok Mejaš,1.4. 2026,,,,,
4.12.6,4,,,Potentially contaminated products shall be isolated. Access and actions for the further handling or testing of these isolated products shall only be carried out by authorised personnel.,Re-check before audit,Eva Grm,1.4. 2026,DN15 SPROSTITEV IN RAVNANJE Z NESKLADNIMI IZDELKI V3.docx označeno mesto v hladilnici za blokirane produkte (dokumentacija OK),,,,
4.12.7,4,,,"In areas where raw materials, semi-finished and finished products are handled, the use of glass and/or brittle materials shall be excluded; however where the presence of glass and/or brittle materials cannot be avoided, the risks shall be controlled and the glass and/or brittle materials shall be cl",Done,Rok Mejaš,1.4. 2026,,,,,
4.12.8,4,,,"Risk-based measures shall be implemented and maintained for the handling of glass packaging, glass containers or other kinds of containers in the production process (turn over, blow, rinse, etc.). After this process step, there shall be no further contamination risks.",Done,Rok Mejaš,1.4. 2026,,,,,
4.12.9,4,,,"Procedure(s) shall be documented, implemented and maintained describing the measures to be taken in case of glass breakage and/or brittle materials. Such measures shall include identifying the scope of goods to be isolated, specifying authorised personnel, cleaning and if necessary, disinfection of ",Done,Rok Mejaš,1.4. 2026,,,,,
4.12.10,4,,,Breakages of glass and brittle materials shall be recorded. Exceptions shall be justified and documented. 65 IFS FOOD VERSION 8,Done,Rok Mejaš,1.4. 2026,,D,"Real glass breakage at the dry mix station in 2/2024 never entered in the register, which records ""no breakage"" for that year; no entry since 24.2.2025; a row dated 12.6.2027 (future date)",m,"Window damage (womens changing room, R&D lab) and damaged plexi guards on extruder and metal detector not documented"
4.12.11,4,,,"Where visual inspection is used to detect foreign materials, the employees shall be trained and operative changes shall be performed at an appropriate frequency to maximise the effectiveness of the process.",In progress,"Aleksandra Kadirić, Rok Mejaš",1.4. 2026,,,,,
4.12.12,4,,,"In areas where raw materials, semi-finished and finished products are handled, the use of wood shall be excluded; however, where the presence of wood cannot be avoided, the risks shall be controlled and the wood shall be clean and pose no risks to product safety.",In progress,Rok Mejaš,1.4. 2026,,,,,
4.13.1,4,,,"Site premises and equipment shall be designed, built and maintained to prevent pest infestation.",Done,Jan Velepec,1.4. 2026,DN04 NADZOR NAD ŠKODLJIVCI V3,,,,
4.13.2,4,,*,"Risk-based pest control measures shall be documented, implemented and maintained. They shall comply with local legal requirements and shall take into account, at a minimum: • factory environment (potential and targeted pests) • type of raw material/finished products • site plan with area for applica",Needs a review,Jan Velepec,1.4. 2026,DN04 NADZOR NAD ŠKODLJIVCI V3,,,,
4.13.3,4,,,"Where a company hires a third-party service provider for pest control, all above-mentioned require- ments shall be documented in the service contract. A competent person at the company shall be appointed to monitor the pest control activities. Even if the pest control service is outsourced, responsi",Needs a review,Jan Velepec,1.4. 2026,DN04 NADZOR NAD ŠKODLJIVCI V3,,,,
4.13.4,4,,,Pest control inspections and resulting actions shall be documented. Implementation of actions shall be monitored and recorded. Any infestation shall be documented and control measures taken.,Done,Jan Velepec,1.4. 2026,https://magnetik.si/,,,,
4.13.5,4,,,"Baits, traps and insect exterminators shall be fully functioning, sufficient in number, designed for purpose, placed in appropriate positions and used in a way to avoid contamination.",Done,Jan Velepec,1.4. 2026,https://magnetik.si/,,,,
4.13.6,4,,,Incoming deliveries shall be inspected on arrival for the presence of pests. Any findings shall be recorded.,Done,Rok Mejaš,1.4. 2026,,,,,
4.13.7,4,,,"The effectiveness of the pest control measures shall be monitored, including trend analysis, to allow timely appropriate actions. Records of this monitoring shall be available.",Done,Jan Velepec,1.4. 2026,https://magnetik.si/,,,,
4.14.1,4,,*,"All incoming goods, including packaging materials and labels, shall be checked for compliance with specifications and a determined risk-based monitoring plan. The monitoring plan shall be justified by risk assessment. Records of those inspections shall be available. 66 IFS FOOD VERSION 8",In progress,Rok Mejaš,1.4. 2026,,,,,
4.14.2,4,,*,"A system shall be implemented and maintained to ensure storage conditions of raw materials, semi-finished, finished products and packaging materials, correspond to product specifications, and do not have any negative impact on other products.",In progress,Rok Mejaš,1.4. 2026,DN13 SKLADIŠČENJE .docx,D,"OBR09 has no real data after March 2023, seven of nine tabs never filled, -18C readings inside a 2-8C chiller log",,
4.14.3,4,,,"Raw materials, packaging materials, semi-finished and finished products shall be stored to minimise contamination risks or any other negative impact.",In progress,Rok Mejaš,1.4. 2026,DN13 SKLADIŠČENJE .docx,,,MAJOR,OBR-09D 11.8.2026 shows -8C in the freezer containers against DN-13 target -18C (max short excursion -15C); no documented action. No hygrometer in the raw material store; verification not in the measuring device control plan
4.14.4,4,,,"Adequate storage facilities shall be available for the management and storage of working materials, process aids and additives. The personnel responsible for the management of storage facilities shall be trained.",In progress,Rok Mejaš,1.4. 2026,DN13 SKLADIŠČENJE .docx,,,,
4.14.5,4,,*,All products shall be identified. Use of products shall be undertaken in accordance with the principles of First In/First Out and/or First Expired/First Out.,In progress,Rok Mejaš,1.4. 2026,,,,,
4.14.6,4,,,"Where a company hires a third-party storage service provider, the service provider shall be certified to IFS Logistics or any other GFSI recognised certification standard covering the respective scope of activity. If not, all relevant requirements equivalent to the company’s own storage practices sh",In progress,Rok Mejaš,1.4. 2026,,,,,
4.15.1,4,,*,"The conditions inside the vehicles related to the absence of, for example: • strange smells • high dust load • adverse humidity • pests • mould shall be checked before loading and documented to ensure compliance with the defined conditions.",Done,Alan Lovišček,1.4. 2026,DN28 Navodila za transport produktov.docx,,,,
4.15.2,4,,,"Where goods are transported at certain temperatures, the temperature inside the vehicles shall be checked and documented before loading.",Done,Alan Lovišček,1.4. 2026,DN28 Navodila za transport produktov.docx,,,,
4.15.3,4,,,"Procedures to prevent contamination during transport, including loading and unloading, shall be documented, implemented and maintained. Different categories of goods (food/non-food) shall be taken into consideration, if applicable.",Done,Alan Lovišček,1.4. 2026,DN28 Navodila za transport produktov.docx,,,,
4.15.4,4,,,"Where goods are transported at certain temperatures, maintaining the appropriate range of temperatures during transport shall be ensured and documented.",Done,Alan Lovišček,1.4. 2026,Izjave o ustreznosti izvajanja logističnih storitev 2026,,,,
4.15.5,4,,,Risk-based hygiene requirements for all transport vehicles and equipment used for loading/unloading (e.g. hoses of silo installations) shall be implemented. Measures taken shall be recorded.,Done,Alan Lovišček,1.4. 2026,DN28 Navodila za transport produktov.docx,,,,
4.15.6,4,,,The loading/unloading areas shall be appropriate for their intended use. They shall be constructed in a way that: • the risks of pest intake are mitigated • products are protected from adverse weather conditions • accumulation of waste is avoided 67 IFS FOOD VERSION 8 • condensation and growth of mo,In progress,Alan Lovišček,1.6. 2026,,,,,
4.15.7,4,,,"Where a company hires a third-party transport service provider, the service provider shall be certified for IFS Logistics or any other GFSI recognised certification standard covering the respective scope of activity. If not, all relevant requirements equivalent to the company’s own transport practic",Done,Alan Lovišček,1.4. 2026,DN28 Navodila za transport produktov.docx,,,,
4.16.1,4,,*,"A maintenance plan shall be documented, implemented and maintained, that covers all critical equipment (including transport and storage premises) to ensure food safety, product quality and legality. This applies both to internal maintenance activities and service providers. The plan shall include re",In progress,Maj Hrovat,1.6. 2026,,C,"Odoo shows 462 live maintenance requests, but 87% corrective, no preventive scheduling field, zero checklists completed, 47% not linked to equipment",,
4.16.2,4,,,"Food safety, product quality, legality and authenticity shall be ensured during and after maintenance and repair work. Records of maintenance and repair work shall be kept.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.16.3,4,,,All materials used for maintenance and repair shall be fit for the intended use and shall not pose contamination risks.,In progress,Maj Hrovat,1.6. 2026,,,,,
4.16.4,4,,,"Failures and malfunctions of premises and equipment (including transport) that are essential for food safety and product quality shall be identified, documented and reviewed to enable prompt actions and to improve the maintenance plan.",Not started,Maj Hrovat,1.6. 2026,,,,,
4.16.5,4,,,Temporary repairs shall be carried out to avoid compromising food safety and product quality. Such work shall be documented and a short-term deadline set for eliminating the issue.,Not started,Maj Hrovat,1.6. 2026,,,,,
4.16.6,4,,,"Where a company hires a third-party maintenance and repair service provider, all the company requirements regarding material, equipment and operational rules shall be defined, documented and maintained in the service contract, to prevent any product contamination.",Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.17.1,4,,*,"Equipment shall be suitably designed and defined for the intended use. Before commissioning new equipment, compliance with food safety, product quality, legality, authenticity and customer requirements shall be validated.",In progress,Maj Hrovat,1.6. 2026,,,,,
4.17.2,4,,,"For all equipment and utensils which could have an impact on the product, evidence shall be documented to demonstrate compliance with legal requirements. In case no specific legal requirements are in place, evidence shall be available, for example: • certificate of conformity • technical specificati",Needs a review,Maj Hrovat,1.6. 2026,,,,m,Cutting boards in the wash room had no food-contact conformity marking and no declaration available; still in use for cutting extrudate
4.17.3,4,,,"Equipment shall be located to allow effective cleaning, disinfection and maintenance operations. 68 IFS FOOD VERSION 8",Needs a review,Maj Hrovat,1.6. 2026,,,,,
4.17.4,4,,,All product equipment shall be in a condition that does not compromise food safety and product quality.,In progress,Maj Hrovat,1.6. 2026,,,,m,Extruder conveyor belt to the cutter is not smooth (foreign body risk); belt to metal detection also damaged
4.17.5,4,,,"In the event of changes to equipment, the process characteristics shall be reviewed to ensure that food safety, product quality, legality, authenticity and customer requirements are complied with.",Not started,Maj Hrovat,1.6. 2026,,,,,
4.18.1,4,7,*,"A traceability system shall be documented, implemented and maintained that enables the identification of product lots and their relation to batches of raw materials, and food contact packaging materials, and/or materials carrying legal and/or relevant food safety information. The traceability system",In progress,Rok Mejaš,1.4. 2026,,KO-D,"Odoo goods receipt only 43% lot-covered (dispatch 97%) which breaks backward traceability; recalled lot 20253251 absent from ERP; DN14 issue 05 of 30.9.2024 never mentions rework, lists 4 products where 7 are produced",,
4.18.2,4,,*,"The traceability system, including mass balance, shall be tested at least once within a 12-month period or whenever significant changes occur. The test samples shall reflect the complexity of the company’s product range. The test records shall demonstrate upstream and downstream traceability (from d",Done,Rok Mejaš,1.4. 2026,,D,"Traceability test 17.4.2026 is backward-only and single-product; the forward test in the same file is dated 7.1.2025 yet cites a raw material purchased 26.1.2026; mass balance is a hyperlink, not a record",,
4.18.3,4,,,"The traceability from the finished products to the raw materials and to the customers shall be performed within four (4) hours maximum. Test results, including the timeframe for obtaining the information, shall be recorded and, where necessary, actions shall be taken. Timeframe objectives shall be i",Needs a review,Rok Mejaš,1.4. 2026,,,,,
4.18.4,4,,,"Labelling of semi-finished or finished product lots shall be made at the time when the goods are directly packed to ensure clear traceability of goods. Where goods are labelled at a later time, the temporarily stored goods shall have a specific lot labelling. Shelf life (e.g. best before date) of la",In progress,Rok Mejaš,1.4. 2026,,,,,
4.18.5,4,,,"If required by the customer, identified representative samples of the manufacturing lot or batch number shall be stored appropriately and kept until expiration of the “Use by” or “Best before” date of the finished products and, if necessary, for a determined period beyond this date.",Done,"Eva Grm, Ana Štravs",1.4. 2026,QP-3.5 Interna kontrola roka trajanja produktov PR02_Stranke in pogodbeni dogovori,D,"QP-3.5 change log states the old retention-sample register ""was not being filled in""; replacement form three days old at assessment",,
4.19.1,4,,,"For all raw materials, a risk assessment shall be performed to identify allergens requiring declarations, including accidental or technically unavoidable cross-contaminations of legally declared allergens and traces. This information shall be available and relevant to the country/ies of sale of the ",Re-check before audit,"Ana Štravs, Katarina Valentinčič",1.4. 2026,OBR32 Lista alergenov.xlsx,B,"OBR32 (7.8.2026): per-product allergen lists, packaging included, EU and US tables, quantitative mg/kg carry-through calculation justifying absence of ""may contain""",,
4.19.2,4,,*,"Risk-based measures shall be implemented and maintained from receipt to dispatch, to ensure that potential cross contamination of products by allergens is minimised. The potential cross contamination risks shall be considered, related to, at a minimum: • environment • transport • storage • raw mater",In progress,"Ana Štravs, Katarina Valentinčič",1.4. 2026,DN23 ROKOVANJE Z ALERGENI.docx,C,"Allergen cleaning validated by ATP only, which is not allergen-specific",,
4.19.3,4,,,Finished products containing allergens that require declarations shall be declared in accordance with legal requirements. Accidental or technically unavoidable cross-contaminations of legally declared allergens and traces shall be labelled. The decision shall be risk-based. The potential cross-conta,Done,"Ana Štravs, Katarina Valentinčič",1.4. 2026,,,,,
4.20.1,4,,,The responsibilities for a food fraud vulnerability assessment and mitigation plan shall be defined. The responsible person(s) shall have the appropriate specific knowledge.,Done,Ana Štravs,1.4. 2026,FF-01 VACCP Plan.docx,,,,
4.20.2,4,,*,"A documented food fraud vulnerability assessment, including assessment criteria, shall be docu- mented, implemented and maintained. The scope of the assessment shall cover all raw materials, ingredients, packaging materials and outsourced processes, to determine the risks of fraudulent activity in r",Done,Ana Štravs,1.4. 2026,FF-01 VACCP Plan.docx Food Fraud Risk Assessment and Mitigation Plan,,,,
4.20.3,4,,,"A food fraud mitigation plan shall be documented, implemented and maintained with reference to the vulnerability assessment, and shall include the testing and monitoring methods.",Done,Ana Štravs,1.4. 2026,FF-01 VACCP Plan.docx Food Fraud Risk Assessment and Mitigation Plan,D,"All 15 food fraud mitigation actions open (0% closure), including identifying the actual manufacturer of the Dry Mix - the top-rated vulnerability",,
